출하일자,도,시군,총출하량,판매금액,총면적,식부면적,경작 평수,단위면적 당 판매금액,단위면적 당 출하량
2019-01-18,전남,보성,86.0,1245500.0,1000,600.0,181.49918325367534,6862.289833333334,0.4738313333333334
2019-01-21,전남,보성,153.0,1906000.0,1000,600.0,181.49918325367534,10501.424666666668,0.842979
2019-01-23,전남,보성,123.0,1524000.0,1000,600.0,181.49918325367534,8396.732,0.6776890000000001
2019-01-25,전남,보성,109.0,1548000.0,1000,600.0,181.49918325367534,8528.964,0.6005536666666668
2019-01-27,전남,보성,126.0,1697000.0,1000,600.0,181.49918325367534,9349.904333333334,0.6942180000000001
2019-01-29,전남,보성,123.0,1562500.0,1000,600.0,181.49918325367534,8608.854166666668,0.6776890000000001
2019-02-01,전남,보성,192.0,2886000.0,1000,600.0,181.49918325367534,15900.898000000001,1.0578560000000001
2019-02-03,전남,보성,128.0,2484000.0,1000,600.0,181.49918325367534,13686.012,0.7052373333333334
2019-02-07,전남,보성,169.0,1594000.0,1000,600.0,181.49918325367534,8782.408666666668,0.9311336666666667
2019-02-08,전남,보성,118.0,1027000.0,1000,600.0,181.49918325367534,5658.427666666667,0.6501406666666667
2019-02-10,전남,보성,78.0,670500.0,1000,600.0,181.49918325367534,3694.2315000000003,0.429754
2019-02-11,전남,보성,153.0,1227500.0,1000,600.0,181.49918325367534,6763.115833333334,0.842979
2019-02-14,전남,보성,153.0,1324500.0,1000,600.0,181.49918325367534,7297.553500000001,0.842979
2019-02-15,전남,보성,143.0,1319000.0,1000,600.0,181.49918325367534,7267.250333333334,0.7878823333333335
2019-02-18,전남,보성,182.0,4024000.0,1000,600.0,181.49918325367534,22170.898666666668,1.0027593333333333
2019-02-19,전남,보성,93.0,860500.0,1000,600.0,181.49918325367534,4741.068166666667,0.512399
2019-02-21,전남,보성,101.0,950000.0,1000,600.0,181.49918325367534,5234.183333333333,0.5564763333333334
2019-02-22,전남,보성,72.0,675500.0,1000,600.0,181.49918325367534,3721.7798333333335,0.39669600000000005
2019-02-25,전남,보성,154.0,1146500.0,1000,600.0,181.49918325367534,6316.832833333334,0.8484886666666668
2019-02-26,전남,보성,84.0,636000.0,1000,600.0,181.49918325367534,3504.148,0.46281200000000006
2019-02-28,전남,보성,93.0,693500.0,1000,600.0,181.49918325367534,3820.953833333334,0.512399
2019-03-01,전남,보성,105.0,1034500.0,1000,600.0,181.49918325367534,5699.750166666668,0.578515
2019-03-03,전남,보성,58.0,374500.0,1000,600.0,181.49918325367534,2063.370166666667,0.3195606666666667
2019-03-04,전남,보성,97.0,467500.0,1000,600.0,181.49918325367534,2575.769166666667,0.5344376666666667
2019-03-06,전남,보성,33.0,205500.0,1000,600.0,181.49918325367534,1132.2365000000002,0.181819
2019-03-07,전남,보성,131.0,1004000.0,1000,600.0,181.49918325367534,5531.705333333334,0.7217663333333334
2019-03-11,전남,보성,164.0,1309000.0,1000,600.0,181.49918325367534,7212.153666666667,0.9035853333333335
2019-03-14,전남,보성,171.0,1518500.0,1000,600.0,181.49918325367534,8366.428833333333,0.9421530000000001
2019-03-17,전남,보성,187.0,1695000.0,1000,600.0,181.49918325367534,9338.885,1.0303076666666668
2019-03-20,전남,보성,185.0,1264500.0,1000,600.0,181.49918325367534,6966.973500000001,1.0192883333333334
2019-03-22,전남,보성,76.0,798000.0,1000,600.0,181.49918325367534,4396.714000000001,0.4187346666666667
2019-03-25,전남,보성,211.0,1680000.0,1000,600.0,181.49918325367534,9256.240000000002,1.1625396666666667
2019-03-27,전남,보성,76.0,796000.0,1000,600.0,181.49918325367534,4385.694666666667,0.4187346666666667
2019-03-28,전남,보성,47.0,375500.0,1000,600.0,181.49918325367534,2068.8798333333334,0.25895433333333334
2019-03-29,전남,보성,101.0,1043000.0,1000,600.0,181.49918325367534,5746.582333333334,0.5564763333333334
2019-03-31,전남,보성,174.0,1431500.0,1000,600.0,181.49918325367534,7887.087833333334,0.9586820000000001
